epoch,step,train_loss_step
0,49,2.2075579166412354
0,99,1.851239562034607
0,149,1.5400009155273438
0,199,1.6325922012329102
0,249,1.463059425354004
0,299,1.435892939567566
0,349,1.553619384765625
0,399,1.4272055625915527
0,449,1.3329782485961914
0,499,1.4007450342178345
0,549,1.4987587928771973
0,599,1.3982635736465454
0,649,1.347206473350525
0,699,1.2934261560440063
0,749,1.2661168575286865
0,799,1.2465405464172363
0,849,1.362310767173767
0,899,1.3415651321411133
0,949,1.1469942331314087
0,999,1.2272353172302246
0,1049,1.250909686088562
