epoch,step,train_loss_step
0,49,2.4461631774902344
0,99,1.9716062545776367
0,149,1.5701013803482056
0,199,1.5676366090774536
0,249,1.3838213682174683
0,299,1.4610300064086914
0,349,1.432766318321228
0,399,1.3368220329284668
0,449,1.4309062957763672
0,499,1.3866170644760132
0,549,1.4077167510986328
0,599,1.3339825868606567
0,649,1.3094223737716675
0,699,1.269843578338623
0,749,1.2652658224105835
0,799,1.1765449047088623
0,849,1.2570700645446777
0,899,1.2398122549057007
0,949,1.3132189512252808
0,999,1.1368653774261475
0,1049,1.2925018072128296
0,1099,1.2251511812210083
0,1149,1.2298763990402222
0,1199,1.2628744840621948
0,1249,1.2385543584823608
0,1299,1.2394286394119263
0,1349,1.2116752862930298
0,1399,1.2004643678665161
0,1449,1.171043038368225
0,1499,1.1795506477355957
0,1549,1.1856321096420288
0,1599,1.2167972326278687
