epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_MASE,val_RMSE,val_SMAPE,val_loss
0,49,,1.9192390441894531,,,,,,
0,99,,2.1181724071502686,,,,,,
0,149,,1.8129953145980835,,,,,,
0,199,,1.9661296606063843,,,,,,
0,249,,1.7614340782165527,,,,,,
0,299,,1.9322400093078613,,,,,,
0,349,,1.9183915853500366,,,,,,
0,399,,1.760983943939209,,,,,,
0,449,,1.903360366821289,,,,,,
0,499,,1.894659161567688,,,,,,
0,549,,2.0256845951080322,,,,,,
0,599,,1.824193000793457,,,,,,
0,649,,1.8861403465270996,,,,,,
0,699,,1.9049992561340332,,,,,,
0,749,,1.8101047277450562,,,,,,
0,799,,1.7748522758483887,,,,,,
0,849,,1.86007559299469,,,,,,
0,899,,1.7597861289978027,,,,,,
0,949,,1.8469504117965698,,,,,,
0,999,,1.9582279920578003,,,,,,
0,1049,,1.907549262046814,,,,,,
0,1099,,1.83906090259552,,,,,,
0,1149,,1.9329887628555298,,,,,,
0,1199,,1.867674708366394,,,,,,
0,1249,,1.9503966569900513,,,,,,
0,1299,,1.765912652015686,,,,,,
0,1349,,1.8385000228881836,,,,,,
0,1399,,1.8541005849838257,,,,,,
0,1449,,1.8288837671279907,,,,,,
0,1499,,1.8844833374023438,,,,,,
0,1549,,1.8593343496322632,,,,,,
0,1599,,1.8088512420654297,,,,,,
0,1649,,1.8405221700668335,,,,,,
0,1699,,1.808259129524231,,,,,,
0,1706,,,2.2704319953918457,0.5911217331886292,5.085152626037598,3.0667660236358643,0.35178226232528687,2.2704319953918457
0,1706,1.8938992023468018,,,,,,,
